	n_estimators	target
0	437	Uqcr10
0	456	Nme1
0	507	Ndufc1
0	569	Cycs
0	511	2010107E04Rik
0	451	Ndufa1
0	495	Omg
0	410	Prdx5
0	321	Tusc3
0	285	Acta1
0	482	Uqcr11
0	505	Higd1a
0	414	Tuba4a
0	434	Id2
0	429	Tubb4b
0	332	Vti1b
0	432	Ccl27a_loc1
0	257	Tmem97
0	206	Sgcz
0	289	Sstr2
0	274	Nme5
0	136	5530601H04Rik
0	154	Syt10
0	236	Csgalnact1
0	262	Cbfa2t3
0	172	Rabl2
0	133	Ano8
0	291	Ncor2
0	542	Nrxn1
0	428	Celsr2
0	340	Sidt1
0	252	Flrt1
0	492	Chd5
0	142	Ppp1r12b
0	327	Tmem132a
0	236	Rreb1
0	295	Rtn4r
0	410	Rbfox2
0	237	Sgsm2
0	289	Pitpnm2
0	453	Slc8a2
0	411	D430041D05Rik
0	479	Cacna1a
0	476	Npcd
0	539	Lphn1
0	382	Chst1
0	478	Nrxn2
0	240	Dtx4
0	25	Anks6
0	277	Ptpdc1
0	225	Ppargc1b
0	74	Spopl
0	336	Bmp1
0	258	Fam60a
0	203	Sox12
0	160	Zfp335
0	192	Klhl17
0	240	Ccdc39
0	306	Kansl1
0	325	C230091D08Rik
0	182	Gm16523
0	236	Sox11
0	217	E330033B04Rik
0	390	A230073K19Rik
0	208	6330415B21Rik
0	403	Kcnq2
0	478	Snhg11
0	412	Miat
0	490	Kcnq1ot1
0	291	Dgkq
0	322	Pisd-ps3
0	480	5031426D15Rik
0	153	Tbrg3
0	240	Gtf3c1
0	237	Fbn2
0	441	Atp6v0a1
0	249	Zfhx2
0	202	Pcdhb7
0	248	Dzip1
0	438	Trank1
0	435	Flna
0	348	Zbtb16
0	269	Ccnl1
0	292	Runx2
0	399	Peli1
0	197	Zdhhc23
0	244	Plch2
0	390	Akap13
0	235	Zbed6
0	287	Fam193b
0	414	Arglu1
0	403	Ryr2
0	426	Akap8l
0	751	Meg3
0	529	Srrm2
0	441	Luc7l3
0	230	Gm20172
0	376	Spock2
0	503	Chd3
0	258	Bcl9
0	322	Cacna1e
0	256	Lrriq1
0	148	4933412O06Rik
0	145	Nckap5
0	224	A230057D06Rik
0	171	Pou2f2
0	349	Hap1
0	502	Cpne7
0	402	Rab26
0	365	Timp2
0	345	Wdr6
0	414	Kctd4
0	543	Nov
0	293	Ntng1
0	405	Crtac1
0	357	Ak5
0	463	Grin3a
0	413	Nnat
0	418	Grp
0	525	Syn2
0	518	Cadm1
0	474	Pea15a
0	386	Tgfb2
0	364	Calb1
0	564	Chl1
0	466	Sv2b
0	240	Rspo3
0	454	Etv1
0	153	Car12
0	165	Rspo2
0	288	Islr2
0	270	Bhlhe22
0	364	Parm1
0	367	Serpina3n
0	303	Ctxn2
0	330	Cnih3
0	477	Gap43
0	244	Cpne2
0	303	Megf11
0	310	Vstm2b
0	379	Arhgef28
0	251	Syt17
0	438	Kit
0	496	Hpcal4
0	562	Ttc3
0	96	Gm10664
0	313	Slc7a4
0	295	Slc6a15
0	470	Cplx2
0	277	Gm5506_loc2
0	366	Galnt9
0	452	Pde1a
0	417	Caln1
0	463	Gda
0	398	Myo5b
0	240	Oxtr
0	265	2010204K13Rik
0	372	Tesc
0	493	Lmo4
0	341	Snx10
0	245	Adcy6
0	329	Ppfibp1
0	320	Nrsn2
0	262	Plxnc1
0	502	Eno2
0	551	Cpne6
0	566	Ywhah
0	447	Nsf
0	471	Gdi1
0	361	Grm1
0	280	Pfkfb2
0	293	Dpysl3
0	376	Fhl1
0	325	Dcaf12l1
0	365	Efr3a
0	416	Map2k1
0	352	Tro
0	463	G3bp2
0	33	Mapkapk2
0	238	Lrpprc
0	352	Ldb2
0	329	Lrrn3
0	380	Psd3
0	329	Ncoa7
0	399	Pak3
0	413	Slc39a10
0	415	Mtfp1
0	477	Arl6ip1
0	642	Pgrmc1
0	331	Snph
0	286	Ptbp2
0	338	1700001L19Rik
0	427	Spon1
0	388	Ctnnb1
0	313	Ap2s1
0	480	Ahi1
0	513	Crym
0	412	Ap1s1
0	410	Atp6v1g2
0	626	Hsp90aa1
0	152	Ankrd6
0	347	Ccnd2
0	325	Nfix
0	431	Pak1
0	424	Tmod2
0	453	Clta
0	403	Lin7a
0	443	Napb
0	444	Sh3gl2
0	373	Tceal6
0	418	Rnf112
0	330	Dync1i1
0	554	Ywhaq
0	313	Ly6h
0	383	Ppp2r2b
0	498	Atxn7l3b
0	447	Ckmt1
0	511	Serinc1
0	204	Ilkap
0	171	Gne
0	210	Tmem237
0	271	D10Jhu81e
0	334	Matk
0	334	Rsph9
0	282	Blcap
0	273	Mgat4c
0	331	Rwdd2a
0	597	Zcchc18
0	157	Zfp64
0	224	Ift80
0	209	Met
0	273	Il34
0	616	Sparcl1
0	244	Cog7
0	381	Fstl1
0	585	Hsp90ab1
0	460	Snca
0	163	Fdx1
0	274	Kctd10
0	313	Btbd10
0	407	Slc1a1
0	412	Fam115a
0	455	Gpr22
0	188	Dsel
0	168	Pm20d2
0	209	Papolg
0	131	Aqp11
0	186	Dgcr8
0	156	Nabp1
0	273	Cox18
0	426	Ntm
0	326	Tsnax
0	463	Atxn10
0	318	Cnrip1
0	116	Pola1
0	120	Rerg
0	325	Fbxw2
0	157	Aph1b
0	241	Itga8
0	229	Gng7
0	337	Akap5
0	289	Dnajc2
0	316	Zrsr2
0	305	Cyb5r3
0	351	Tomm70a
0	459	Fbxw7
0	432	Ensa
0	475	Ywhaz
0	226	Scfd2
0	240	9530080O11Rik
0	154	Pex7
0	149	Mmab
0	250	Ccsap
0	327	Ralyl
0	157	Cyp7b1
0	36	Cd55
0	127	Tacr3
0	262	Tm2d1
0	195	Nudt16
0	236	Rgs19
0	246	Chchd4
0	276	Serpinb6a
0	352	Gabrb1
0	390	Tmem59l
0	417	Matr3
0	435	Ldha
0	190	Lig4
0	243	Ccdc41os1
0	390	Nkain4
0	128	Igfbp3
0	364	Mat2b
0	256	Kdm1a
0	341	Stk25
0	306	Usp46
0	187	Gatc
0	71	N4bp3
0	25	Gpr173
0	222	Dnal4
0	250	Pik3r2
0	254	Thoc3
0	375	Rgs2
0	411	Sh3bp5
0	230	Rab9b
0	320	Ptov1
0	356	Pfkl
0	351	Ola1
0	191	Zik1
0	170	Prokr2
0	220	Fam105a
0	172	Klf10
0	470	Kcnv1
0	345	Bzw2
0	77	Uevld
0	150	Tmem231
0	60	Rn4.5s_loc9
0	127	Npy5r
0	232	Golm1
0	158	Txlng
0	544	Hmgcr
0	395	Crip2
0	175	Npy2r
0	140	2610008E11Rik
0	253	Ccng1
0	246	Gnai3
0	253	Rasl10a
0	156	Cyb5d2
0	340	Slc35f3
0	454	H2afj
0	502	Pfn2
0	606	3110035E14Rik
0	363	Ociad1
0	486	Actg1
0	218	Fpgt
0	345	Vps37b
0	340	Kcnj4
0	329	Igfbp6
0	278	Htr5b
0	414	Lix1
0	335	Sec23a
0	518	H3f3b
0	131	Heca
0	170	Slc39a11
0	112	Ccdc86
0	187	Tasp1
0	312	Cap1
0	244	Tpd52l1
0	416	Cck
0	393	Ndrg3
0	596	Actb
0	778	Gpm6a
0	61	Adam12
0	258	Camk1g
0	157	Rpusd3
0	204	Hmgn5
0	204	Orc3
0	211	Cdo1
0	369	Rheb
0	492	Pls3
0	375	Ap2b1
0	418	Rogdi
0	362	Mapk10
0	422	St6galnac5
0	472	Nrn1
0	486	Caly
0	25	Dhdh
0	227	Pgam2
0	253	Gadd45b
0	265	D630023F18Rik
0	299	Pdlim7
0	309	Gtl3
0	525	Mmd2
0	58	Rad51ap1
0	202	Fyco1
0	259	Rab27b
0	231	Hist2h2aa1_loc2
0	218	Rsu1
0	212	Ttc30b
0	25	Dynlt1f_loc2
0	679	Dynll1
0	113	Sult5a1
0	49	Igsf1
0	365	Gabra4
0	415	Dlg4
0	270	Clvs2
0	502	Tsc22d1
0	491	Sh3bgrl
0	341	0610007P14Rik
0	776	Gpm6b
0	364	Gnb5
0	377	Ramp1
0	357	Gstp1
0	174	5730522E02Rik
0	207	Fam212a
0	279	Rilpl1
0	354	Matn2
0	349	Rprml
0	474	Lxn
0	628	Itm2b
0	286	Gm10754
0	489	Rgs14
0	461	Ociad2
0	596	Fkbp1a
0	482	Sh3bgrl3
0	236	Mc4r
0	655	Chn1
0	657	Calm2
0	25	Msc
0	329	Lin7b
0	598	Brk1
0	330	Palmd
0	497	Ifi27
0	207	Fam26e
0	485	Nmt1
0	419	Cd34
0	456	Fam19a1
0	326	Tmod3
0	502	Arl1
0	334	Fhl2
0	347	Gsta4
0	485	Capza2
0	335	Nckap1
0	371	Gmpr
0	745	Fth1
0	341	Cpne8
0	327	Sphkap
0	485	Naa38
0	762	Tmsb4x
0	334	Spink8
0	275	OTTMUSG00000016609_loc1
0	368	OTTMUSG00000016609_loc2
0	350	OTTMUSG00000016609_loc5
0	330	OTTMUSG00000016609_loc6
0	300	Actr3b
0	466	Abracl
0	161	Nt5dc2
0	87	Col5a2
0	25	Dlk1
0	27	Nts
0	289	Dcn
0	193	Figf
0	316	Flrt3
0	122	A230077H06Rik
0	258	Acvr1c
0	145	Dnah1
0	212	Tmem255a
0	209	Baiap2l1
0	192	Dyrk3
0	253	Dnah6
0	26	Fbxo4
0	270	Ifrd1
0	239	Erlin1
0	264	Ncoa5
0	246	Ica1l
0	249	Nudt10
0	287	Cpeb1
0	141	Pcgf6
0	334	Birc2
0	29	Smoc2
0	231	Inhbb
0	156	Slc15a4
0	201	Cntn3
0	229	Ccdc85a
0	144	Zscan18
0	207	Nhlrc1
0	182	Zfp715
0	213	Noa1
0	288	Ube2z
0	251	Fam20b
0	212	Asb7
0	260	Ccdc148
0	253	Pdzd4
0	70	Ccna1
0	247	Noc4l
0	223	Pdf
0	239	Mas1
0	172	Zfp40
0	232	Jazf1
0	276	Pde4d
0	220	Ryr1
0	312	Cmtm4
0	397	Rab3c
0	221	Gm8615
0	347	Frmd4a
0	210	Bbs1
0	351	Atp8a1
0	384	Map2
0	226	Zfyve28
0	263	Ccdc149
0	278	Epdr1
0	365	Ptprg
0	112	Spry3
0	394	Map9
0	476	Marcksl1
0	491	Sorbs2
0	414	Slc22a17
0	271	Cask
0	433	Tenm2
0	290	Unc5a
0	348	Ptpre
0	204	Donson
0	265	Smad3
0	311	Strip1
0	320	Npr3
0	486	Adora1
0	420	Ildr2
0	508	Ywhab
0	240	Adra2a
0	180	Furin
0	269	Thsd4
0	277	Slc16a2
0	480	Nrp1
0	497	Mpped1
0	180	Agl
0	241	Fosl2
0	303	Slc6a7
0	389	Kcnn2
0	332	Fam65b
0	356	Svop
0	293	Cacna1g
0	522	Mapk1
0	229	Sstr3
0	354	Pcdh8
0	346	Mapk8ip1
0	478	Dgkg
0	419	Prkar1a
0	241	Deaf1
0	244	Insig2
0	363	Jph4
0	441	Syt4
0	202	Fndc1
0	261	Hnrnpd
0	324	Chrd
0	378	Bsn
0	388	Zfp365
0	354	Rasal1
0	235	Efnb2
0	329	Madd
0	359	Ap3b2
0	156	Pus7
0	240	Grik2
0	254	Tmem150c
0	180	Ehbp1
0	366	Sertm1
0	336	C1ql3
0	422	Gabra2
0	396	Igsf8
0	503	Scn2a1
0	252	Lrfn4
0	202	Cdh22
0	301	Myef2
0	157	Arih2
0	364	B230209E15Rik
0	311	Ehmt1
0	362	Ube2b
0	339	Nalcn
0	358	Slc25a22
0	435	Ctnnd2
0	169	Zfp629
0	641	Arpp21
0	410	Wsb2
0	403	Fam214a
0	245	Tspyl3
0	532	Pcdh17
0	294	Mast1
0	317	Ndst3
0	327	Fam81a
0	374	Hk1
0	423	Nrcam
0	258	Smarca1
0	357	Neo1
0	383	Gm21949
0	438	Mycbp2
0	512	Gprasp1
0	297	Ctbp2
0	424	Trim9
0	294	1700025G04Rik
0	336	Tmem179
0	385	Pcdh19
0	548	Cntn1
0	494	Ptprs
0	519	Psap
0	136	Rnf169
0	282	Mdga1
0	170	Darc
0	291	Bhlhe40
0	245	Fbxo31
0	262	Ythdf1
0	337	Cdh2
0	147	Zbtb21
0	195	Trappc8
0	267	Tada2b
0	365	Fezf2
0	332	Ap3m2
0	371	Hcn1
0	451	Disp2
0	367	Ankrd12
0	430	Ank2
0	422	Ap2m1
0	136	Parn
0	310	Tubb2b
0	391	Gaa
0	378	Pnmal2
0	437	Ypel3
0	519	Pgm2l1
0	83	Gpr101
0	271	Kcng2
0	357	Hspa12a
0	368	Galnt16
0	471	Tmem30a
0	330	Tenm3
0	193	Lman2l
0	270	Clcn2
0	270	Zswim6
0	294	Ttc7b
0	350	Magee1
0	391	Srpk2
0	413	Ube2ql1
0	430	Camta1
0	522	Cmip
0	198	Max
0	215	Gm7334
0	253	Slc7a8
0	292	Hrk
0	162	Sphk2
0	344	Igsf21
0	395	Chst2
0	437	Cbx6
0	403	L1cam
0	414	Kcnma1
0	160	Hadha
0	400	Junb
0	311	Rnf165
0	405	Ssbp3
0	202	Kdm2b
0	293	Nab1
0	204	Nr4a2
0	249	Mageh1
0	309	Scn3a
0	357	Jak1
0	472	Synj1
0	204	Kdm3a
0	279	Rnf157
0	349	Lrrc4c
0	172	Mpp4
0	317	Kctd6
0	344	Emc10
0	299	Rabgap1l
0	409	Kif5a
0	498	Bsg
0	466	Ncam1
0	206	Usf2
0	265	9930021J03Rik
0	291	Fbxo33
0	445	Map1a
0	396	Tmx4
0	171	Lamb1
0	340	Fastk
0	343	Bod1
0	475	Rap2a
0	329	Cdk14
0	424	Pafah1b1
0	328	Erdr1
0	175	Sos2
0	290	Ankrd13d
0	266	Synm
0	322	Ptpn5
0	374	6330403K07Rik
0	293	Raph1
0	374	Cadm3
0	382	Gnb2
0	410	Gls
0	377	Eid1
0	267	Cotl1
0	203	Tnks
0	529	Ubl3
0	323	Tomm20
0	390	Sez6l
0	509	Syn1
0	190	Slc26a4
0	234	Manea
0	314	Paqr4
0	409	Rab15
0	348	Kif2a
0	428	Slc17a7
0	270	Yeats4
0	360	Npepps
0	435	Ptprn
0	390	Snap91
0	508	Maged1
0	224	Zfp26
0	228	Rps6ka4
0	337	Wbp11
0	614	Atp1b1
0	267	Ckap4
0	256	H1fx
0	272	Bag4
0	394	Dos
0	415	Icam5
0	185	Prmt6
0	677	Cadps2
0	285	Btbd2
0	296	Rab11fip2
0	350	Map2k4
0	330	Irf2bpl
0	442	Mrfap1
0	494	Dpysl2
0	570	Rtn1
0	243	Fam171a2
0	216	E430025E21Rik
0	264	Kpna4
0	227	Mtmr3
0	392	Agtpbp1
0	330	C77370
0	549	Nfib
0	433	Mtpn
0	436	Cfl1
0	628	App
0	142	Frs2
0	322	Uap1
0	304	Hras1
0	308	Atn1
0	337	Itfg1
0	396	Apba2
0	529	Map1b
0	597	Syt11
0	297	Klhl9
0	409	Rac1
0	411	Akap11
0	612	Sptbn1
0	631	Cpe
0	530	Basp1
0	673	Aplp1
0	278	Aldh2
0	157	Usp35
0	407	Nefm
0	426	Gnai1
0	435	2900097C17Rik
0	195	Dok4
0	193	Trpm2
0	317	Exoc5
0	376	Vapa
0	360	Smap2
0	550	Ywhae
0	213	Cebpg
0	192	Morn4
0	293	Gfra4
0	338	Gsk3a
0	324	Syt5
0	347	Abhd12
0	379	Mir703
0	395	Calr
0	124	Rnpep
0	175	Nacc1
0	241	Ppp2r5d
0	279	Ccny
0	314	Meis2
0	480	Rtn3
0	589	Dnm1
0	229	Rev1
0	288	Pacs1
0	315	Ina
0	312	Hnrnpab
0	414	Nucks1
0	269	Hey1
0	254	Ube2d1
0	347	Psip1
0	352	Eif4h
0	416	Serbp1
0	582	Eef1a1
0	167	Trim41
0	256	Nrg3
0	189	Slc33a1
0	210	Tusc1
0	253	Taf10
0	404	2900060B14Rik
0	335	Grb2
0	177	4931428F04Rik
0	243	Stk3
0	257	Dtnbp1
0	234	Pspc1
0	340	Rala
0	327	Hapln4
0	237	Cdkl4
0	287	Sall2
0	399	Rpl10
0	254	Rilpl2
0	213	Snrpa
0	303	Nefh
0	249	Acsl4
0	319	Ube2v1
0	345	Scamp1
0	386	Ap3d1
0	253	Lmbr1
0	189	Spr
0	465	Canx
0	115	Tmtc3
0	185	Lrig2
0	259	Tomm6
0	422	Gm1821_loc2
0	457	Map7d2
0	67	Rcn1
0	185	Alyref
0	254	Csnk2b
0	394	Hsph1
0	340	Sobp
0	354	Trim32
0	220	Morf4l1
0	233	Pgam5
0	295	Fam216a
0	172	Ash2l
0	109	Supt7l
0	148	Utp18
0	211	Rab3ip
0	266	B4galt2
0	131	Gpr25
0	268	Fbll1
0	304	Zfp704
0	213	Fam207a
0	376	Acsl6
0	231	Sharpin
0	156	Bloc1s4
0	148	Tbc1d5
0	185	Tti1
0	152	Fuk
0	211	Mir684-1_loc8
0	218	Mir684-1_loc3
0	269	Mir684-1_loc1
0	218	Psmg1
0	292	Insr
0	204	Fam135a
0	273	Mrps21
0	285	U05342
0	192	Crocc
0	88	Skida1
0	331	Fam189a1
0	196	Sart3
0	251	Nr1h2
0	133	Dedd2
0	383	Oaz1
0	285	Sema4a
0	290	Prkag2
0	320	Chst8
0	166	AI846148
0	252	Smurf1
0	311	Trim46
0	339	Eml5
0	249	Nol6
0	321	St8sia1
0	177	2300009A05Rik
0	233	Mir684-1_loc9
0	230	Rundc3b
0	272	Slitrk1
0	59	Gab3
0	380	Ptms
0	315	Scn1b
0	303	Cbx4
0	393	Sepw1
0	202	Crem
0	351	Kras
0	309	2900026A02Rik
0	351	Klc2
0	300	Fam76a
0	334	Rab12
0	312	Slc25a23
0	325	Shisa7
0	369	Mras
0	245	Khsrp
0	356	Unc13a
0	274	Spryd3
0	236	Spry2
0	360	Cnih2
0	343	Pgbd5
0	332	Creg2
0	222	Esrra
0	286	Ndnl2
0	453	Rbfox3
0	345	Pole4
0	237	Per2
0	336	Ubald1
0	325	Dzip3
0	322	Gprin1
0	440	Lrrn2
0	262	Mkl1
0	551	Camk2b
0	171	Zfp746
0	589	Nrgn
0	303	Asphd2
0	313	Pip5k1b
0	412	Gabrg2
0	395	Abr
0	238	Drap1
0	427	Arhgef25
0	244	Ube2e2
0	277	Tmem131
0	354	Sema6b
0	129	Sdhaf1
0	221	Pdk3
0	392	Scamp5
0	341	Lancl1
0	320	Cdc40
0	279	Grasp
0	285	Rgs7
0	263	Slc37a3
0	241	Tmem200a
0	480	Celf5
0	373	Mast3
0	302	Sdhc
0	259	Jmy
0	266	Galntl6
0	438	Bcl11a
0	314	Cttn
0	271	Pde6d
0	281	Ptpru
0	242	BC068157
0	215	Mllt1
0	372	Me3
0	256	Fam84a
0	146	Fam227a
0	291	Ext1
0	271	C230081A13Rik
0	240	Syt12
0	374	Cpd
0	555	Ncdn
0	232	Klf16
0	476	Nell2
0	152	Zfp513
0	253	Pip4k2c
0	264	Rfng
0	360	Pacsin1
0	257	Twf1
0	446	Nsg1
0	326	Prmt8
0	262	Hcfc1
0	383	Gabra5
0	285	Coq2
0	360	R3hdm4
0	380	Fibcd1
0	240	Gas2l1
0	313	Cpt1c
0	453	Pfn1
0	279	Kctd1
0	261	Ust
0	499	Fam131a
0	357	Pi4ka
0	350	Actn1
0	312	Sybu
0	61	Eya1
0	211	Smndc1
0	343	Lmo1
0	276	Ybx3
0	480	Pja2
0	314	Psd
0	311	Hebp1
0	476	Grina
0	180	Prr12
0	369	Rab10
0	304	Trappc10
0	328	Brinp2
0	207	Rgl1
0	294	Ppm1g
0	211	Shf
0	400	D10Bwg1379e
0	309	Pde8b
0	309	Kcnip2
0	283	Ssbp4
0	240	Fkrp
0	262	Kat2a
0	343	Usp7
0	324	Fkbp1b
0	341	Wdr1
0	213	Gopc
0	219	Rcan1
0	537	Cnksr2
0	408	Crmp1
0	286	Zfp91
0	329	Stim2
0	343	Iqsec1
0	290	Sbf1
0	216	Vps9d1
0	434	Arpc2
0	401	Arf5
0	268	Tspyl5
0	180	Bhlhe41
0	418	Fbxl16
0	437	Ppp3cb
0	537	Calm3
0	454	Mical2
0	350	Mfsd6
0	327	Cnot7
0	283	Gpr155
0	182	Brf1
0	405	BC018242
0	407	Cap2
0	509	Arf1
0	341	Dmxl2
0	331	Glg1
0	407	Ddn
0	330	Cacng3
0	290	Dpp9
0	337	Arl15
0	279	Cherp
0	239	Fam43b
0	478	Camkv
0	356	Sprn
0	355	Dlgap4
0	378	Actr3
0	371	Hnrnpa0
0	322	Prickle2
0	316	Clip4
0	353	Gucy1b3
0	383	Klf13
0	369	Vstm2l
0	336	Tmem158
0	298	Dcakd
0	315	Ppm1k
0	217	Pnrc1
0	249	Agfg2
0	254	Sptbn4
0	172	Tmem109
0	502	Trim2
0	556	Epha4
0	410	Plcb1
0	319	Ncoa1
0	514	Ctxn1
0	395	Dapk1
0	259	Erc1
0	244	Fbxl17
0	151	Phf13
0	724	Olfm1
0	688	Ppp3ca
0	355	Mtch1
0	552	Tspan13
0	321	Sipa1l3
0	378	Mmp17
0	318	Lmo3
0	239	Lonrf1
0	270	Tlk1
0	292	Neurod1
0	299	Mdm2
0	252	Sbf2
0	293	Ncoa2
0	259	Sh3pxd2a
0	261	Ppt2
0	315	Kcnk2
0	414	Gsk3b
0	475	Ptk2b
0	427	Arhgef9
0	525	Bcl11b
0	509	Zeb2
0	392	Ccni
0	308	Dcaf6
0	305	Nuak1
0	509	Arpc5
0	265	Garem
0	483	Slc30a3
0	279	Pip4k2a
0	243	Trpc5
0	454	Itm2c
0	398	Rasgef1a
0	354	Dbn1
0	411	Atp2c1
0	296	Stxbp5
0	543	Tppp
0	306	Snx27
0	371	Nos1ap
0	387	Lphn2
0	338	Med24
0	251	Lgalsl
0	280	Mpped2
0	307	Zhx1
0	239	Sptb
0	230	Mesdc1
0	174	Nckap5l
0	626	Gria1
0	715	Tcf4
0	496	Atp1a3
0	376	Nbea
0	331	Camk1d
0	410	Sorl1
0	395	Sez6
0	388	Runx1t1
0	350	Foxg1
0	424	Npdc1
0	455	Phactr1
0	436	Cpox
0	392	Neurod2
0	404	Dkk3
0	409	Snn
0	233	Srf
0	232	Dnajc13
0	197	March4
0	261	Cenpv
0	200	Ptp4a1
0	519	Thy1
0	638	Gnao1
0	556	Zbtb18
0	494	Elmod1
0	441	Myt1l
0	478	Arf3
0	448	Lingo1
0	446	Frrs1l
0	461	Phyhip
0	514	Kalrn
0	375	Pianp
0	331	Syne1_loc1
0	300	C2cd2l
0	481	Itpka
0	409	Ppm1e
0	344	Grin1
0	375	Sowaha
0	335	Khdrbs3
0	337	Wasl
0	391	Rtn4rl1
0	325	Ppp2r5e
0	305	Dagla
0	295	Arhgap39
0	274	Dgke
0	280	Cacna1h
0	313	C1qtnf4
0	235	Elk1
0	277	Cdh8
0	535	Gria2
0	595	Anks1b
0	461	Wasf1
0	502	Baiap2
0	449	Ppp1r9a
0	395	Mlf2
0	456	Rasgrp1
0	390	Nav1
0	356	Slitrk5
0	353	2510003E04Rik
0	401	Trim37
0	421	Sptan1
0	436	Cd47
0	420	Lmo7
0	362	Add2
0	485	Grin2b
0	245	Auts2
0	332	Cds1
0	349	Dennd5b
0	370	Pbx1
0	322	Trappc6b
0	317	Nol4
0	306	Cecr6
0	381	Abi1
0	284	Abhd17c
0	268	Me1
0	481	Prkce
0	572	Atp2b1
0	458	Cdk5r1
0	486	Rab6a
0	373	Gnaq
0	467	Ubqln2
0	502	Gabbr1
0	625	Ctsb
0	439	Zfand5
0	453	Tspan5
0	341	Chrm1
0	431	Micu3
0	422	Kif5b
0	321	Rasa1
0	336	Large
0	409	Epn2
0	380	Prrt2
0	521	Foxp1
0	302	Arhgap21
0	334	Fbxo11
0	219	Rpgrip1l
0	473	9430020K01Rik
0	295	Hdac9
0	434	Dlgap1
0	452	Nsg2
0	582	Camk2a
0	503	Grm5
0	379	Rock2
0	347	Slc24a3
0	392	6330403A02Rik
0	403	Abi2
0	509	Rgs7bp
0	361	Zmynd11
0	418	Hivep2
0	396	Pkp4
0	351	Zfp462
0	360	Camsap2
0	426	Ptprn2
0	370	Tmem181c-ps
0	331	4833424O15Rik
0	377	Cttnbp2
0	339	Fgf13
0	296	Rprd1a
0	292	Atg9a
0	328	Pkp2
0	305	Sema4f
0	303	Epha5
0	299	Clstn2
0	266	Ankrd33b
0	198	Siah1a
0	163	Rap2c
0	219	1700021K19Rik
0	454	Rbfox1
0	575	D3Bwg0562e
0	546	Prnp
0	418	Cacna2d1
0	644	Rtn4
0	403	Nptn
0	443	Cx3cl1
0	412	Zfr
0	351	Sipa1l1
0	419	Crim1
0	476	Ppp3r1
0	388	Astn1
0	440	Klhl2
0	295	Fzd3
0	305	Ptprj
0	350	Braf
0	300	Camsap1
0	320	Cdh11
0	376	Smpd3
0	321	Adnp
0	345	Robo1
0	256	Jph1
0	288	Ubtf
0	201	Ccdc177
0	326	Pcnxl2
0	255	Pou6f1
0	251	Hipk3
0	200	Porcn
0	233	Nsmce4a
0	267	Rimbp2
0	182	Syn3
0	476	Pcdhgb4
0	377	Mal2
0	363	Gpd2
0	293	Slitrk3
0	304	Adcy9
0	336	Ppp4r4
0	345	Tub
0	306	Alcam
0	264	Megf9
0	314	Pex5l
0	232	Ppp1r13b
0	257	Ing2
0	384	Ano3
0	237	Ankrd63
0	231	Tmem189
0	286	Smad1
0	171	9930013L23Rik
0	455	Slc12a5
0	463	B3gat1
0	424	Cdk17
0	381	Plxna2
0	410	Fyn
0	391	Ppfia2
0	351	Erc2
0	371	Glrb
0	350	Dock9
0	382	Atxn1
0	292	Irf2bp2
0	320	Robo2
0	326	Lrp3
0	345	Adcy2
0	294	Rasal2
0	268	Extl1
0	156	Zcchc8
0	349	Egr4
0	479	Rras2
0	398	Celf1
0	384	Kif5c
0	502	Pcdha5
0	457	Enc1
0	490	Cyfip2
0	359	Ncan
0	364	Trio
0	316	Limd2
0	465	Nfia
0	285	Bai3
0	475	Acsl3
0	295	Elmo2
0	262	Rybp
0	238	Rfx3
0	232	Cdc42bpb
0	261	Nrip1
0	208	Trafd1
0	250	Gyk
0	168	Arhgap17
0	609	Prkcb
0	617	Kif1b
0	470	Actr2
0	375	B4galt6
0	376	Fam155a
0	365	Man1a2
0	439	Dgkb
0	324	Prkcg
0	357	Lzts3
0	297	Zfp608
0	210	Ago1
0	260	Tmed8
0	326	Npas4
0	164	Dazl
0	252	Ak3
0	473	Atp2a2
0	525	Celf2
0	449	Slc8a1
0	507	Scn8a
0	437	Mmd
0	428	Unc80
0	404	Dnajc5
0	409	Nptx1
0	310	Kcnab2
0	318	Fbxo41
0	265	Gpd1l
0	308	Mfsd4
0	268	Rab40b
0	222	BC037034
0	209	Aff3
0	258	Tbc1d16
0	341	Satb2
0	460	Camkk2
0	348	Plxna4
0	282	Tmem57
0	236	Gltscr1l
0	380	Tob1
0	260	Xkr4
0	253	Xpo7
0	302	Dixdc1
0	236	8430427H17Rik
0	253	Cables2
0	382	Taok1
0	422	Gabrb3
0	448	Cyp46a1
0	318	Zmat3
0	403	Diras2
0	321	Supt5
0	212	Fam126a
0	194	Zfp654
0	206	Sidt2
0	426	Nlgn1
0	359	Dpp6
0	218	A830082N09Rik
0	274	Arhgef17
0	350	Myadm
0	369	Ntrk3
0	401	Dock4
0	349	Faah
0	335	Tacc1
0	389	Adam22
0	266	Rnft2
0	340	Elavl1
0	207	Kctd12
0	185	Cramp1l
0	434	Sort1
0	343	Slc7a14
0	411	Opcml
0	334	Rnf44
0	317	Akt3
0	233	Slc30a5
0	234	Htr1a
0	425	Sirpa
0	420	Zyg11b
0	362	Srgap3
0	380	Itpr1
0	478	Brinp1
0	308	Cacnb1
0	257	Xpot
0	246	Ftx
0	264	Ncstn
0	226	Iqsec3
0	188	Tmtc4
0	225	Fam160b2
0	351	Sel1l
0	430	Dmtn
0	322	Rapgef2
0	272	Samd4b
0	319	Trim44
