	target	non_zero
2931	Myadm	1333
2932	Sacm1l	1333
2933	Tada1	1332
2934	Med29	1332
2935	Unc50	1332
2936	Phf3	1332
2937	Atxn1	1332
2938	Cpeb3	1331
2939	Arcn1	1330
2940	Cpeb1	1330
2941	BC004004	1330
2942	Ifrd1	1330
2943	Narf	1329
2944	Exd2	1329
2945	Alas1	1328
2946	Zmiz1	1328
2947	Polr2h	1328
2948	Rbm26	1327
2949	Ttbk2	1327
2950	Prickle1	1327
2951	Robo2	1327
2952	Ap1b1	1326
2953	Scamp3	1326
2954	Nxf1	1326
2955	Mapre3	1326
2956	Fibp	1326
2957	Mrps7	1326
2958	Rapgef2	1325
2959	Fam171a1	1324
2960	Mapk9	1324
2961	Slc38a1	1324
2962	Qars	1324
2963	Vps13a	1324
2964	Setd7	1323
2965	Extl3	1323
2966	Imp3	1323
2967	Tmod3	1323
2968	Eml5	1323
2969	Ncaph2	1323
2970	Cacna2d3	1323
2971	Smap2	1323
2972	Parp1	1322
2973	Ebna1bp2	1322
2974	Smim20	1322
2975	Anapc4	1321
2976	Wdr43	1320
2977	Mau2	1320
2978	Hspbp1	1320
2979	Arfgap2	1320
2980	Trappc6b	1320
2981	Rif1	1320
2982	Dhx9	1320
2983	Scn3b	1320
2984	Chd2	1320
2985	Ubr2	1319
2986	Apopt1	1319
2987	Mical2	1319
2988	Dip2c	1319
2989	Prpf6	1319
2990	Ubl4	1319
2991	Tufm	1319
2992	Timm22	1319
2993	Cyld	1318
2994	Pdxdc1	1318
2995	Mrpl49	1318
2996	B3galnt1	1318
2997	Tmem205	1318
2998	Gtpbp4	1318
2999	Mrpl35	1318
3000	Fam69a	1317
3001	Usp32	1317
3002	Dek	1317
3003	Rab33a	1317
3004	Acsl4	1316
3005	Arc	1316
3006	Cdh11	1315
3007	Mllt3	1315
3008	Mtf2	1315
3009	Pepd	1315
3010	Cnot2	1314
3011	Kdm2a	1313
3012	Suds3	1313
3013	Zfp637	1313
3014	Rnf4	1313
3015	Ddx50	1312
3016	Abcf2	1312
3017	Nop58	1312
3018	Lsm3	1312
3019	Golga7b	1312
3020	Crebrf	1312
3021	Plxna4	1312
3022	Kpna1	1312
3023	Gucy1a2	1312
3024	Lsm12	1311
3025	Ptov1	1311
3026	P4htm	1311
3027	Zfp91	1310
3028	Baz2a	1310
3029	Stambp	1310
3030	Cspg5	1310
3031	Snx32	1310
3032	Nub1	1310
3033	Drosha	1310
3034	Mical3	1310
3035	Hist3h2ba	1309
3036	Lmo7	1309
3037	Supt6	1309
3038	Rbm6	1309
3039	Trim32	1309
3040	Gon4l	1308
3041	Ggct	1308
3042	Gm5506_loc2	1308
3043	U05342	1307
3044	Nprl2	1307
3045	Rnf149	1307
3046	Nfat5	1307
3047	Icam5	1307
3048	Ep400	1306
3049	Thra	1306
3050	Gtl3	1306
3051	Gm6251	1306
3052	Sdccag3	1306
3053	Itpka	1305
3054	Hmgcl	1305
3055	2310035C23Rik	1305
3056	Iars	1304
3057	1810009A15Rik	1304
3058	Mrps16	1304
3059	Dcun1d4	1304
3060	Megf8	1303
3061	Ifnar1	1303
3062	Ski	1303
3063	Hbs1l	1303
3064	Rbm27	1302
3065	0610031J06Rik	1302
3066	Otud6b	1302
3067	Mrps9	1302
3068	Nefm	1302
3069	Cwc22	1302
3070	Sae1	1302
3071	Pfdn2	1302
3072	Neu1	1302
3073	Arrdc3	1301
3074	Cry2	1301
3075	Trappc11	1301
3076	Tceal6	1301
3077	Wars	1301
3078	Slc16a1	1301
3079	Dynlt1c_loc2	1300
3080	Grhpr	1300
3081	Sncb	1300
3082	Ubp1	1300
3083	Rhbdd2	1300
3084	4933434E20Rik	1299
3085	Srpr	1299
3086	Ube2e1	1299
3087	Gm6644	1299
3088	Gyg	1299
3089	Igip	1299
3090	Cby1	1299
3091	Rit2	1298
3092	U2af1l4	1298
3093	Klhl22	1298
3094	BC005537	1298
3095	Derl1	1298
3096	Cdk10	1298
3097	Sssca1	1298
3098	Il1rap	1297
3099	4930402H24Rik	1297
3100	Lrp8	1297
3101	Mecp2	1297
3102	Adrm1	1297
3103	Urod	1297
3104	Zc2hc1a	1296
3105	Brix1	1296
3106	Ltn1	1296
3107	Mmadhc	1295
3108	Shisa4	1295
3109	Raph1	1295
3110	Csnk1d	1295
3111	Stx1a	1295
3112	Mrps11	1294
3113	Stradb	1294
3114	Pitpnb	1294
3115	Zfp329	1293
3116	Sepp1	1293
3117	Hdac2	1293
3118	Stoml2	1293
3119	Nedd4l	1293
3120	Gabrb1	1293
3121	Ythdf3	1292
3122	Chid1	1292
3123	Fam120c	1292
3124	Abca3	1292
3125	Adcy2	1291
3126	Hipk1	1291
3127	Kctd3	1291
3128	Ccdc12	1291
3129	Glrx	1291
3130	Preb	1291
3131	Kdm1a	1290
3132	Bap1	1290
3133	Larp1	1289
3134	Kcnj9	1289
3135	Nlgn1	1289
3136	Gnl2	1288
3137	Uchl5	1288
3138	Fam19a5	1288
3139	Ppp2r2d	1288
3140	Manbal	1287
3141	Vps16	1287
3142	Dlat	1287
3143	2610005L07Rik	1287
3144	Atp11b	1287
3145	Rhot1	1287
3146	Dync2h1	1287
3147	5730409E04Rik	1287
3148	Prpf31	1287
3149	Mrpl13	1286
3150	Gtf3c2	1286
3151	Lpin2	1286
3152	Slmo2	1286
3153	Fbxl17	1285
3154	Ddit3	1285
3155	Igf1r	1285
3156	Fmr1	1285
3157	Dcaf6	1284
3158	0610037L13Rik	1284
3159	Efhd2	1284
3160	6330403A02Rik	1283
3161	Nolc1	1282
3162	Etf1	1282
3163	Caln1	1282
3164	Fxyd6	1282
3165	Sde2	1282
3166	Atf6b	1281
3167	Cd200	1281
3168	Btbd3	1281
3169	Pdlim7	1281
3170	Flrt2	1280
3171	Numa1	1280
3172	Trak2	1280
3173	Mrpl45	1279
3174	Blcap	1279
3175	Diras2	1279
3176	Junb	1278
3177	2810468N07Rik	1278
3178	Coq9	1278
3179	Slc25a23	1278
3180	L3mbtl2	1277
3181	Tcf20	1277
3182	Gcsh	1277
3183	Ncbp1	1277
3184	Ypel2	1277
3185	Aasdhppt	1277
3186	Rab15	1277
3187	L1cam	1277
3188	Unc5a	1276
3189	Ei24	1276
3190	Stam	1276
3191	Ina	1276
3192	Cyth2	1276
3193	Ppil2	1275
3194	Efcab14	1275
3195	Cat	1275
3196	Dgcr2	1275
3197	March5	1275
3198	Fbxo34	1275
3199	Arl6	1275
3200	Fam120b	1275
3201	Mrpl2	1274
3202	Snhg3	1274
3203	Adcy6	1274
3204	Trp53inp2	1273
3205	Cds1	1272
3206	Mrps28	1272
3207	Stag2	1272
3208	Rapgef6	1272
3209	Luzp1	1271
3210	Fto	1271
3211	Ablim1	1271
3212	Stx8	1271
3213	Mbtps1	1270
3214	C330007P06Rik	1270
3215	Nkap	1270
3216	Mzt1	1270
3217	Exoc1	1269
3218	Stx5a	1269
3219	Rnf167	1268
3220	Tmem127	1268
3221	Snx1	1267
3222	Serpine2	1267
3223	Atg9a	1267
3224	Nov	1266
3225	Galnt16	1266
3226	Sys1	1266
3227	Pex19	1266
3228	Tmem183a	1266
3229	Cpsf3	1266
3230	Gpaa1	1265
3231	Taf11	1265
3232	C77370	1265
3233	Lin7b	1265
3234	Zfp322a	1265
3235	Pmpca	1265
3236	Abhd16a	1264
3237	Pdxk	1264
3238	Ppp6r3	1264
3239	Rasl11b	1264
3240	Cpne8	1264
3241	Zfp938	1264
3242	Dapk1	1263
3243	Chmp2b	1263
3244	Tpp1	1263
3245	Nras	1263
3246	Cers5	1262
3247	Cirbp	1261
3248	Ly6h	1261
3249	Ciapin1	1261
3250	Adss	1260
3251	Cd63	1260
3252	Ep300	1260
3253	Fyco1	1260
3254	Arxes1	1259
3255	Mrps34	1259
3256	Ap1m1	1259
3257	Cnot1	1259
3258	Lhfpl4	1259
3259	Tcta	1259
3260	Crebzf	1259
3261	Ssbp1	1259
3262	Hcfc1	1259
3263	Adam10	1259
3264	Pop5	1257
3265	Scaper	1257
3266	Setd2	1257
3267	Sphkap	1257
3268	Runx1t1	1257
3269	Akap8	1257
3270	Pdgfa	1257
3271	Wipi2	1257
3272	Gpc1	1256
3273	Ngef	1256
3274	Mid1ip1	1256
3275	Arhgap44	1256
3276	D10Bwg1379e	1256
3277	Jhdm1d	1256
3278	Anxa6	1256
3279	Mrpl46	1255
3280	Aldoart2	1255
3281	Ikbkap	1255
3282	Ruvbl1	1255
3283	Nptx1	1255
3284	Pttg1ip	1255
3285	Sez6l	1254
3286	Glrx2	1254
3287	Kcmf1	1254
3288	Srr	1253
3289	Ipo13	1253
3290	Gsn	1253
3291	Sgtb	1253
3292	Fcf1	1253
3293	Uchl3	1252
3294	Tsc22d4	1252
3295	Ralyl	1252
3296	Zmiz2	1251
3297	Lztfl1	1251
3298	Rprml	1251
3299	Pgp	1251
3300	Tmem19	1250
3301	Usp31	1249
3302	Chrm3	1249
3303	Cabin1	1249
3304	Usp46	1248
3305	B4galt3	1248
3306	Xbp1	1248
3307	Ciao1	1248
3308	Sema7a	1248
3309	Smarcd1	1247
3310	Fam193b	1247
3311	Cstf2	1247
3312	Rpf2	1247
3313	Arhgap12	1247
3314	Katnal1	1246
3315	Ralgps2	1246
3316	Fundc2	1246
3317	Neurl4	1246
3318	Zcchc14	1245
3319	Srsf9	1245
3320	Prpf18	1244
3321	Fndc5	1244
3322	Smarcb1	1244
3323	9430020K01Rik	1243
3324	Seh1l	1243
3325	Zfp462	1243
3326	Rnf208	1243
3327	Fam65b	1243
3328	Ept1	1243
3329	Pik3c3	1242
3330	Wdr12	1242
3331	Pbdc1	1242
3332	Ube2j1	1242
3333	Bsdc1	1242
3334	Mlx	1242
3335	Kars	1241
3336	Fbxo3	1240
3337	Egln1	1240
3338	Ankrd40	1240
3339	Slain1	1240
3340	Sdhaf2	1239
3341	Usp15	1239
3342	Usp25	1239
3343	Sc5d	1239
3344	Cggbp1	1239
3345	Actr6	1238
3346	Rab2b	1238
3347	Cacnb3	1237
3348	Ppp4r2	1237
3349	Micu1	1237
3350	Zcchc6	1236
3351	Gsk3a	1236
3352	Ddhd2	1236
3353	Elp3	1236
3354	Irf2bp2	1236
3355	Cyb5r1	1235
3356	Vamp3	1235
3357	1810058I24Rik	1235
3358	Osbpl8	1234
3359	Snhg6	1234
3360	0610011F06Rik	1234
3361	Larp4b	1234
3362	Api5	1233
3363	Rmdn3	1233
3364	Mrps6	1233
3365	Sptlc1	1233
3366	Tmem65	1233
3367	Prpf39	1233
3368	Dcaf12l1	1232
3369	Caml	1232
3370	Gbf1	1232
3371	B3galt5	1232
3372	Ddr1	1232
3373	Pts	1232
3374	Rab1b	1232
3375	Usp4	1232
3376	Tmem35	1232
3377	Chga	1232
3378	Ngdn	1231
3379	Fam65a	1231
3380	9930021J03Rik	1231
3381	Znrf1	1231
3382	Cog7	1231
3383	Trim3	1231
3384	Cep170b	1231
3385	Snapc5	1231
3386	Tmem261	1231
3387	1110038F14Rik	1230
3388	Mboat7	1230
3389	Stk39	1230
3390	Adipor2	1230
3391	Fah	1230
3392	Skil	1229
3393	Mllt10	1229
3394	Kctd12	1229
3395	Scaf11	1228
3396	Letm1	1227
3397	0610012G03Rik	1227
3398	Bcr	1227
3399	Ssx2ip	1227
3400	Rab8a	1227
3401	Cisd3	1227
3402	Eif2a	1227
3403	Ndufaf7	1226
3404	Maea	1226
3405	Cep170	1226
3406	Gclc	1226
3407	Irf2bpl	1226
3408	Mapk14	1225
3409	Slc8a2	1225
3410	Cd34	1225
3411	Mir703	1225
3412	Prkag1	1225
3413	Shisa7	1225
3414	1810043H04Rik	1224
3415	Abat	1224
3416	Nr1d2	1224
3417	Rab4b	1224
3418	Cse1l	1224
3419	Pde4a	1224
3420	Zfc3h1	1224
3421	Slc4a7	1224
3422	Actr1b	1224
3423	Naa60	1223
3424	Ythdf1	1223
3425	Anxa7	1223
3426	Map6	1223
3427	Fam96a	1223
3428	Cnih2	1222
3429	Cmtm5	1222
3430	Hdac3	1222
3431	Mpv17l	1222
3432	Tbce	1222
3433	Lrrn3	1222
3434	Dynlt1b	1222
3435	Tomm40l	1222
3436	5031426D15Rik	1221
3437	Itsn1	1221
3438	Ostm1	1221
3439	Lage3	1221
3440	4833420G17Rik	1220
3441	Vgf	1220
3442	Slitrk4	1220
3443	Tsr2	1220
3444	Mblac2	1220
3445	Csmd3	1220
3446	Hrsp12	1219
3447	Rab4a	1219
3448	Bloc1s2	1219
3449	Ttc4	1219
3450	Psd	1219
3451	Eif3j2	1219
3452	Tctex1d2	1219
3453	Sfxn3	1219
3454	5031439G07Rik	1219
3455	Lsm5	1219
3456	Creb1	1219
3457	Osbpl6	1218
3458	Dab2ip	1218
3459	1110008F13Rik	1218
3460	Fdx1l	1218
3461	Qrich1	1218
3462	Sft2d1	1218
3463	Epdr1	1218
3464	Arhgef28	1217
3465	Ubald1	1216
3466	Fbxo44	1216
3467	Nap1l3	1216
3468	Gm2a	1215
3469	Fbxo33	1215
3470	Zfand3	1215
3471	Tceal1	1215
3472	Mmp17	1215
3473	Pik3c2a	1215
3474	Rnf157	1215
3475	Nup88	1214
3476	1700037H04Rik	1214
3477	Ccp110	1214
3478	Dpp9	1214
3479	Cyth1	1214
3480	Adcy9	1213
3481	Aacs	1213
3482	Ext1	1212
3483	Csnk1g3	1212
3484	Slc44a1	1212
3485	Dcaf11	1211
3486	Slc35a2	1211
3487	Slc7a14	1211
3488	Crtac1	1211
3489	Dopey1	1211
3490	Phf14	1211
3491	Psmb10	1210
3492	Lrpprc	1210
3493	Hmgn1	1210
3494	Hmg20a	1210
3495	Usp8	1209
3496	Hspa14	1209
3497	Nav3	1208
3498	Znrd1	1208
3499	4833424O15Rik	1208
3500	Drg2	1208
3501	Amn1	1208
3502	Wdr37	1207
3503	Smg7	1207
3504	Ndel1	1207
3505	H13	1207
3506	Kdm5b	1207
3507	Nop16	1207
3508	Chmp7	1207
3509	Abhd17a	1206
3510	Mcf2l	1206
3511	Aprt	1206
3512	Cldn11	1206
3513	Fxr2	1205
3514	Ggt7	1205
3515	Pim3	1205
3516	Tm7sf3	1205
3517	Apoo-ps	1205
3518	Acadsb	1204
3519	Vezt	1204
3520	Yipf3	1204
3521	Cacng2	1204
3522	Gnl1	1204
3523	Trf	1204
3524	Slc5a3	1204
3525	Zmym5	1203
3526	Ppp2r3a	1203
3527	Sec23b	1203
3528	Cnih4	1203
3529	Pou3f3	1202
3530	Chrm1	1202
3531	Rabggtb	1202
3532	Synrg	1202
3533	Akirin1	1202
3534	Gmpr	1202
3535	Ankrd10	1202
3536	Mfsd5	1201
3537	Cd99l2	1201
3538	Prpf40b	1201
3539	Alad	1201
3540	Commd9	1200
3541	0610010F05Rik	1200
3542	Spire1	1200
3543	Gabra5	1200
3544	Rgs14	1200
3545	Tm2d1	1199
3546	Kcnk1	1199
3547	Slc7a4	1199
3548	Ccdc174	1198
3549	BC030336	1198
3550	Zbtb11	1198
3551	Socs5	1198
3552	Pnma2	1198
3553	Zcchc9	1198
3554	Mysm1	1197
3555	Srrt	1197
3556	Naa25	1197
3557	Pdcl3	1196
3558	Tmem8b	1196
3559	Fam195b	1196
3560	Dtymk	1196
3561	Vipas39	1196
3562	Pgrmc2	1196
3563	Mcl1	1196
3564	Dusp7	1195
3565	Nudt2	1195
3566	Pdzd8	1195
3567	Paqr4	1195
3568	Mef2a	1195
3569	Prkcsh	1194
3570	Gpr85	1194
3571	Zzef1	1194
3572	Acadvl	1194
3573	Mrpl19	1194
3574	Derl2	1194
3575	Pdcd11	1193
3576	Hnrnpll	1193
3577	Wdr6	1193
3578	Nubp2	1193
3579	Grb14	1193
3580	Eif3b	1193
3581	Fam45a	1193
3582	Brd1	1193
3583	Ykt6	1193
3584	Zdhhc9	1192
3585	Rpa3	1192
3586	Plaa	1192
3587	Speg	1192
3588	Usp45	1191
3589	6030419C18Rik	1191
3590	Ebp	1191
3591	Snrnp48	1191
3592	Arfgap1	1191
3593	Dgkd	1191
3594	Tmem87b	1191
3595	Slc12a6	1191
3596	Cntnap2	1190
3597	Dip2a	1190
3598	Ranbp9	1190
3599	Nova2	1190
3600	Abl2	1190
3601	Ak1	1190
3602	S100b	1189
3603	Slc4a8	1189
3604	Mta1	1188
3605	BC003965	1188
3606	Pex3	1188
3607	Krit1	1188
3608	Psmd10	1188
3609	Zhx1	1188
3610	Zfp664	1188
3611	Ctps	1187
3612	Arsb	1187
3613	Dbnl	1187
3614	Mphosph10	1187
3615	Unc79	1186
3616	Akap5	1185
3617	Agpat6	1185
3618	Yipf4	1185
3619	Ugt8a	1185
3620	Fam96b	1185
3621	Rfc2	1185
3622	Pnck	1184
3623	Brcc3	1184
3624	Brinp2	1183
3625	Gm13498	1183
3626	Pip4k2b	1182
3627	Tmem9	1182
3628	Ccnc	1182
3629	Tssc1	1182
3630	Smarcc1	1182
3631	Tmem158	1182
3632	Asic2	1181
3633	Cul2	1181
3634	Gpr158	1181
3635	Fhl1	1180
3636	Syt5	1180
3637	Skiv2l	1180
3638	Tob1	1179
3639	Meaf6	1179
3640	Ccnl1	1179
3641	Tbc1d19	1179
3642	Cnot8	1178
3643	C1ql3	1178
3644	Me3	1178
3645	Ica1	1177
3646	Agpat5	1177
3647	Zfp612	1177
3648	Riok3	1177
3649	Ppap2b	1177
3650	Atg5	1176
3651	Anapc1	1176
3652	Fundc1	1176
3653	Klhdc10	1176
3654	Bag6	1176
3655	Tmem126a	1176
3656	Naa50	1176
3657	Uso1	1175
3658	Coro2b	1175
3659	Vps26b	1175
3660	Ipo4	1174
3661	Ptrh2	1174
3662	Slc4a3	1174
3663	Trpm7	1174
3664	Jarid2	1174
3665	Cpeb2	1174
3666	Zfp280d	1174
3667	Senp2	1174
3668	Ap3m1	1174
3669	Lix1	1173
3670	Foxj2	1173
3671	Mxi1	1173
3672	Fam162a	1173
3673	Cog4	1173
3674	Naa10	1172
3675	Arl6ip5	1172
3676	Ppdpf	1172
3677	Numbl	1172
3678	Cnn3	1171
3679	1700021F05Rik	1171
3680	Elavl2	1171
3681	Ireb2	1170
3682	Fam134b	1170
3683	Kbtbd3	1170
3684	Stau2	1170
3685	Spock1	1170
3686	Ddt	1169
3687	Fn3k	1169
3688	Clmn	1169
3689	OTTMUSG00000016609_loc1	1169
3690	Uap1	1169
3691	Eml2	1168
3692	Exoc7	1168
3693	Ntmt1	1167
3694	Cstf2t	1167
3695	Larp4	1167
3696	Fnbp1l	1167
3697	Drap1	1167
3698	Ssh2	1166
3699	Dohh	1166
3700	Vezf1	1166
3701	Bex4	1165
3702	Ccnd2	1165
3703	Tmcc3	1165
3704	Arpc1b	1165
3705	Mapk3	1165
3706	Hnmt	1165
3707	Ajap1	1165
3708	Ap1g1	1165
3709	Clec16a	1165
3710	Cdkl2	1164
3711	Ccdc50	1164
3712	Prepl	1164
3713	Nrip3	1164
3714	Trp53bp1	1164
3715	Dnajb5	1164
3716	Pde4d	1164
3717	Ier5	1163
3718	Mrpl50	1163
3719	Fuca1	1163
3720	Cpsf7	1163
3721	Gcn1l1	1163
3722	Sybu	1163
3723	Bcl7a	1162
3724	Poldip3	1162
3725	Pou3f1	1162
3726	Med4	1162
3727	Chka	1162
3728	Mfsd4	1162
3729	Wipf3	1162
3730	Strip1	1161
3731	Rnh1	1161
3732	Mpnd	1161
3733	Lgmn	1161
3734	Daglb	1160
3735	Fam192a	1160
3736	Smad4	1160
3737	Map4k5	1160
3738	Parp6	1160
3739	Ak5	1160
3740	Smim11	1160
3741	Rnf146	1160
3742	Slc39a1	1159
3743	N6amt1	1159
3744	Fam50a	1159
3745	Trim33	1159
3746	Gm8580	1159
3747	Cdc26	1158
3748	Tmem101	1158
3749	Dnal1	1158
3750	Angel2	1158
3751	Wfs1	1158
3752	Slco3a1	1157
3753	Spock3	1157
3754	Zfp639	1157
3755	Capn2	1157
3756	Sf3a3	1157
3757	Tmem237	1157
3758	Txlna	1157
3759	Nsmce1	1156
3760	Moap1	1156
3761	Vps33a	1156
3762	Tmem246	1156
3763	Arf2	1156
3764	Prmt8	1156
3765	Tmcc1	1156
3766	4921524J17Rik	1155
3767	Phkg2	1155
3768	Tmem57	1155
3769	Ptpn1	1155
3770	Kmt2d	1154
3771	Iqgap2	1154
3772	Rgs7	1154
3773	Insig2	1153
3774	Sf3b3	1153
3775	Coro1c	1153
3776	Gramd1a	1153
3777	Rars	1153
3778	Stim1	1153
3779	Ipo11	1152
3780	Ecsit	1152
3781	Fam179b	1152
3782	Lrrtm1	1152
3783	Evl	1152
3784	Hnrnpd	1152
3785	Kcnab1	1151
3786	Setd8	1151
3787	Vopp1	1151
3788	Senp7	1151
3789	Fnta	1151
3790	Cd164	1150
3791	Alkbh6	1150
3792	Phgdh	1150
3793	Clic4	1149
3794	Tbc1d24	1149
3795	Zbtb20	1149
3796	Rian	1149
3797	Swt1	1149
3798	Psme2	1149
3799	Mfap1a	1149
3800	Dzank1	1149
3801	Psph	1149
3802	Zfp608	1149
3803	Shisa5	1148
3804	Gm14326	1148
3805	Gnpda2	1148
3806	Tsix	1148
3807	B3gat3	1148
3808	Ccny	1148
3809	Aagab	1148
3810	Vps53	1147
3811	Asphd2	1147
3812	A930015D03Rik	1147
3813	Akirin2	1147
3814	Mtor	1147
3815	Mbtd1	1147
3816	Sulf2	1147
3817	Arhgef4	1147
3818	Sema3e	1147
3819	Ptpre	1146
3820	Rnf41	1146
3821	Ddx47	1146
3822	Rab8b	1146
3823	Mpi	1146
3824	Sp3	1146
3825	Mrpl16	1145
3826	Cbx4	1145
3827	Nenf	1145
3828	Atp6v0a2	1145
3829	Mrps15	1145
3830	Arih1	1144
3831	Mdga2	1144
3832	Apod	1144
3833	Actn1	1144
3834	Pole4	1143
3835	Eif2b1	1143
3836	Hsd17b7	1143
3837	Hspa2	1143
3838	Mrpl39	1143
3839	Ankra2	1143
3840	Senp3	1142
3841	Usf2	1142
3842	Serpinb6a	1142
3843	Gm1821_loc2	1142
3844	Nol7	1141
3845	Slc2a1	1141
3846	Ccdc53	1141
3847	Cdk4	1140
3848	Klhl23	1140
3849	Ythdf2	1140
3850	Auh	1140
3851	Grsf1	1140
3852	Bcl2l2	1140
3853	2310009A05Rik	1139
3854	Pnrc2	1139
3855	Adam15	1139
3856	Tox4	1139
3857	Vps13b	1139
3858	Lysmd2	1138
3859	Rap2b	1138
3860	Mtfr1l	1137
3861	Polr1c	1137
3862	Fam178a	1137
3863	Tex2	1136
3864	Fut8	1136
3865	Tln2	1136
3866	Zfp704	1136
3867	Ap3s1	1136
3868	Qtrt1	1136
3869	Cpne7	1136
3870	Ptpn5	1135
3871	Tecpr2	1135
3872	D19Bwg1357e	1135
3873	Rybp	1135
3874	Clint1	1135
3875	Tecpr1	1134
3876	Dync1li1	1134
3877	Mast4	1134
3878	Snd1	1134
3879	Tmcc2	1134
3880	Acap3	1134
3881	Gfpt1	1134
3882	Ctnna1	1133
3883	Acaca	1133
3884	Mrpl9	1133
3885	Rpap3	1133
3886	Nfkbia	1132
3887	Insr	1132
3888	Herpud1	1132
3889	Capza1	1131
3890	Vps39	1131
3891	Phb2	1131
3892	Eif6	1131
3893	Ankib1	1131
3894	0610010K14Rik	1130
3895	Gak	1130
3896	Bag5	1130
3897	Bdp1	1130
3898	Akt2	1130
3899	Phyhip	1130
3900	Rap1b	1130
3901	2410089E03Rik	1130
3902	Ctdsp2	1130
3903	Jtb	1129
3904	Otud7b	1129
3905	Rnf150	1129
3906	Tmem135	1129
3907	Dtx3	1129
3908	Hes1	1129
3909	Fam117b	1129
3910	Gm3893	1129
3911	Sept11	1129
3912	Msi2	1128
3913	Cntnap1	1128
3914	Atg3	1128
3915	Kdelr1	1128
3916	Rnf115	1128
3917	Me1	1128
3918	Arhgap23	1128
3919	Zmat3	1128
3920	Ppp1r21	1128
3921	Rcan2	1127
3922	Syt16	1127
3923	Ttll3	1126
3924	2310044G17Rik	1126
3925	Ehmt2	1126
3926	Snapin	1125
3927	Tbc1d10b	1125
3928	Smarca5	1125
3929	Dnajc1	1124
3930	Ppp2r4	1124
3931	Flot1	1124
3932	Cwc25	1124
3933	B230209E15Rik	1123
3934	Crnkl1	1123
3935	Bag4	1123
3936	Mrp63	1123
3937	Hecw1	1123
3938	Orc6	1122
3939	Gmps	1122
3940	Anapc2	1122
3941	Apmap	1122
3942	Ctnnd1	1122
3943	Epc2	1121
3944	Rpl21	1121
3945	Bcl2l1	1121
3946	Ralgapb	1120
3947	Slc30a4	1120
3948	Mobp	1120
3949	Rictor	1120
3950	Kcnj10	1120
3951	Ift46	1120
3952	Bbx	1120
3953	Mrpl15	1119
3954	Fbxo41	1119
3955	Alkbh5	1119
3956	Slc43a2	1119
3957	Dkc1	1119
3958	Kat6b	1119
3959	Cdk7	1118
3960	Clasrp	1118
3961	Stx6	1118
3962	Npc1	1118
3963	A330076H08Rik	1118
3964	Tfg	1118
3965	Habp4	1118
3966	U2af1	1117
3967	Klhl24	1117
3968	Aifm1	1117
3969	Pkd1	1117
3970	OTTMUSG00000016609_loc6	1116
3971	Ric3	1116
3972	Cluh	1116
3973	Nol4	1116
3974	Alg2	1116
3975	Synm	1116
3976	Ccdc34	1116
3977	Fam160a2	1115
3978	Otud4	1115
3979	Tbpl1	1115
3980	Atg2b	1115
3981	Rnf165	1115
3982	Gigyf1	1115
3983	Spast	1115
3984	Mki67ip	1114
3985	9030624J02Rik	1114
3986	Maf1	1114
3987	Sidt2	1114
3988	1110001J03Rik	1114
3989	Them4	1113
3990	Rnf168	1113
3991	Plrg1	1113
3992	Rragc	1113
3993	Rev3l	1113
3994	Pop4	1112
3995	Prr14l	1112
3996	Cox19	1112
3997	Ing1	1112
3998	Kif3b	1112
3999	Esyt2	1111
4000	Crym	1111
4001	Prosc	1111
4002	Brox	1111
4003	Samm50	1111
4004	Htt	1110
4005	Osbpl9	1110
4006	Nt5c3	1110
4007	Erp44	1110
4008	Ablim2	1110
4009	Kndc1	1110
4010	Ube2z	1110
4011	Dnajc30	1110
4012	Homer2	1109
4013	Zswim6	1109
4014	Ric8	1109
4015	Slc7a11	1109
4016	Abcg1	1109
4017	Lpl	1108
4018	Clasp1	1108
4019	Mag	1108
4020	Zcchc11	1108
4021	Jph3	1108
4022	Tmem181a	1108
4023	Mzt2	1108
4024	Mrpl10	1108
4025	Bhlhe40	1107
4026	BC029722	1107
4027	Zfp330	1107
4028	Chpf	1107
4029	Sec24c	1107
4030	Scamp2	1107
4031	Ipo5	1107
4032	Serp1	1107
4033	Lrp6	1107
4034	Ctsf	1106
4035	Rab11fip3	1106
4036	Clptm1	1106
4037	Ppp1r1a	1106
4038	Eif2b2	1106
4039	Tnrc18	1105
4040	Ece1	1105
4041	Nadk	1105
4042	Poldip2	1104
4043	Peli1	1104
4044	4933409K07Rik_loc3	1103
4045	Snx14	1103
4046	Atxn2l	1103
4047	Cdc23	1103
4048	2900056M20Rik	1103
4049	Dirc2	1102
4050	Smg6	1102
4051	Nipsnap3b	1102
4052	Sytl2	1102
4053	Ttc19	1102
4054	Mt3	1102
4055	Yif1b	1101
4056	Sik3	1101
4057	Sestd1	1101
4058	Rpp30	1101
4059	Paxbp1	1100
4060	Krr1	1100
4061	Acad9	1100
4062	Gga1	1100
4063	Pex11b	1100
4064	Tbk1	1100
4065	Pias2	1100
4066	Nucb2	1099
4067	Lta4h	1099
4068	AW549877	1099
4069	Eif2b3	1099
4070	Pias1	1099
4071	Ddx3y	1098
4072	Asxl2	1098
4073	Fam19a1	1098
4074	Rprd2	1097
4075	Fgf13	1097
4076	2310036O22Rik	1096
4077	Arhgef17	1096
4078	Lsm1	1096
4079	Cask	1096
4080	Snx16	1096
4081	Ift74	1096
4082	2310045N01Rik	1096
4083	Gtf3c1	1096
4084	Bcat1	1096
